OTU,phylum,kingdom
OTU1,Euryarchaeota,Unassigned
OTU2,Actinobacteria,Unassigned
OTU3,Bacteroidetes,Unassigned
OTU4,Chloroflexi,Unassigned
OTU5,Elusimicrobia,Unassigned
OTU6,Firmicutes,Unassigned
OTU7,Fusobacteria,Unassigned
OTU8,Nitrospirae,Unassigned
OTU9,Planctomycetes,Unassigned
OTU10,Proteobacteria,Unassigned
OTU11,Spirochaetes,Unassigned
OTU12,Tenericutes,Unassigned
OTU13,Verrucomicrobia,Unassigned
OTU14,Ascomycota,Fungi
OTU15,Basidiomycota,Fungi
OTU16,Arthropoda,Metazoa
OTU17,Chordata,Metazoa
OTU18,Mollusca,Metazoa
OTU19,Nematoda,Metazoa
OTU20,Rotifera,Metazoa
OTU21,Cercozoa,Unassigned
OTU22,Ciliophora,Unassigned
OTU23,Euglenozoa,Unassigned
OTU24,Heterolobosea,Unassigned
OTU25,Tubulinea,Unassigned
OTU26,Streptophyta,Viridiplantae
OTU27,Acidobacteria,Unassigned
OTU28,Armatimonadetes,Unassigned
OTU29,Balneolaeota,Unassigned
OTU30,Caldiserica,Unassigned
OTU31,Chlamydiae,Unassigned
OTU32,Coprothermobacterota,Unassigned
OTU33,Cyanobacteria,Unassigned
OTU34,Deferribacteres,Unassigned
OTU35,Fibrobacteres,Unassigned
OTU36,Gemmatimonadetes,Unassigned
OTU37,Ignavibacteriae,Unassigned
OTU38,Kiritimatiellaeota,Unassigned
OTU39,Lentisphaerae,Unassigned
OTU40,Synergistetes,Unassigned
OTU41,Cryptomycota,Fungi
OTU42,Gastrotricha,Metazoa
OTU43,Apicomplexa,Unassigned
OTU44,Discosea,Unassigned
OTU45,Endomyxa,Unassigned
OTU46,Evosea,Unassigned
OTU47,Fornicata,Unassigned
OTU48,Haptista,Unassigned
OTU49,Preaxostyla,Unassigned
OTU50,Rhodophyta,Unassigned
OTU51,Chlorophyta,Viridiplantae
OTU52,Thermotogae,Bacteria
OTU53,Nanoarchaeota,Archaea
OTU54,Calditrichaeota,Bacteria
OTU55,Crenarchaeota,Archaea
OTU56,Tardigrada,Eukaryota
OTU57,Chlorobi,Bacteria
OTU58,Euglenida,Eukaryota
OTU59,Dictyoglomi,Bacteria
OTU60,Annelida,Eukaryota
OTU61,Chytridiomycota,Eukaryota
OTU62,Thaumarchaeota,Unassigned
